column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
Share Outstanding,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,16399999999.999998,3280000000.0,3280000000.0,3280000000.0,3280000000.0,3280000000.0,3280000000.0,3280000000.0,3280000000.0,3280000000.0,3280000000.0,3280000000.0,0.0,CPIN
EPS (Quarter),79.08,69.39,14.7,-15.7,46.88,74.75,72.65,57.63,-9.57,84.05,88.71,96.83,36.67,44.56,56.24,65.24,51.08,55.84,49.49,66.01,63.38,87.63,60.73,34.34,25.06,54.76,38.16,-16.73,46.53,59.12,46.5,35.78,17.74,32.25,26.25,2.08,28.13,35.97,40.34,19.64,41.35,49.58,43.77,13.33,47.31,55.24,47.8,25.92,41.36,36.53,39.84,35.17,212.88,151.05,136.34,158.67,141.68,148.21,44.48,-45.29,58.84,42.9,21.83,0.0,CPIN
PE Ratio (Quarter),68.6,76.02,339.46,-359.87,120.52,80.27,77.77,103.24,-671.37,74.36,78.91,67.39,154.76,125.11,87.84,99.63,104.74,84.71,129.32,109.45,80.07,41.99,56.81,87.36,109.34,58.07,83.86,-184.7,75.22,63.43,77.2,72.67,112.74,85.27,135.05,1817.31,150.73,104.81,99.03,171.84,82.22,103.87,115.38,273.82,63.94,62.0,57.53,82.95,58.03,54.48,50.83,52.32,40.87,23.5,20.54,14.18,9.67,4.39,11.24,-9.6,13.43,23.31,42.14,0.0,CPIN
Price to Sales (Quarter),5.48,5.3,5.62,6.9,6.26,6.86,6.48,6.92,8.69,7.85,9.25,8.82,33.35,6.67,5.83,7.23,6.12,5.13,7.26,8.13,6.04,4.39,4.77,4.14,3.58,4.04,4.37,5.12,6.19,6.25,6.37,5.62,4.52,5.84,7.72,8.41,9.45,8.02,9.75,7.93,8.32,13.32,14.67,11.08,8.75,10.5,9.21,7.91,8.34,7.41,7.58,7.15,7.32,3.33,2.66,1.91,1.13,0.59,0.53,0.43,0.67,1.02,1.05,0.0,CPIN
EBITDA (Quarter),2139480000000.0,2028010000000.0,759350000000.0,282600000000.0,1327670000000.0,1927930000000.0,1841520000000.0,1743080000000.0,112190000000.0,2041340000000.0,2183670000000.0,2423660000000.0,1068329999999.9999,1191970000000.0,1480670000000.0,1721280000000.0,1366360000000.0,1454350000000.0,1260810000000.0,1784750000000.0,1721350000000.0,2270010000000.0,1615800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPIN
Return on Assets (Quarter),0.0309,0.0265,0.0058,-0.006500000000000001,0.0194,0.031400000000000004,0.0327,0.0267,-0.0045000000000000005,0.039700000000000006,0.0443,0.051,0.0192,0.022799999999999997,0.03,0.0364,0.028999999999999998,0.032,0.028399999999999998,0.0392,0.039,0.0543,0.038700000000000005,0.023,0.0168,0.035,0.0253,-0.0113,0.030299999999999997,0.038,0.0315,0.023799999999999998,0.0126,0.0223,0.0191,0.0016,0.024,0.0323,0.0418,0.020499999999999997,0.0477,0.059000000000000004,0.055999999999999994,0.0177,0.066,0.0862,0.0817,0.048,0.0861,0.0772,0.0922,0.0885,0.1229,0.0885,0.08560000000000001,0.0974,0.08779999999999999,0.08720000000000001,0.027400000000000004,-0.028700000000000003,0.0346,0.026600000000000002,0.0146,0.0,CPIN
Return on Equity (Quarter),0.0447,0.041100000000000005,0.0091,-0.0098,0.028999999999999998,0.047599999999999996,0.0452,0.0376,-0.006500000000000001,0.0527,0.0587,0.068,0.0273,0.0322,0.042,0.050800000000000005,0.04190000000000001,0.0478,0.0402,0.0559,0.057,0.0836,0.059699999999999996,0.0359,0.0271,0.0609,0.0424,-0.0194,0.052300000000000006,0.0702,0.057300000000000004,0.0468,0.0244,0.0454,0.037700000000000004,0.0031,0.0424,0.056600000000000004,0.062400000000000004,0.032400000000000005,0.0705,0.091,0.0809,0.0268,0.0977,0.1265,0.1129,0.069,0.1182,0.1184,0.1278,0.1293,0.17809999999999998,0.1536,0.1325,0.1777,0.19280000000000003,0.2494,0.0998,-0.1127,0.1317,0.1104,0.0631,0.0,CPIN
Return on Capital Employed (Quarter),0.0565,0.0545,0.014199999999999999,-0.0064,0.0339,0.0565,0.0547,0.0536,-0.0089,0.0652,0.07150000000000001,0.07940000000000001,0.032400000000000005,0.0388,0.0521,0.0631,0.0496,0.053200000000000004,0.044800000000000006,0.06849999999999999,0.0697,0.0992,0.0702,0.047400000000000005,0.036000000000000004,0.0645,0.0447,0.0546,0.053700000000000005,0.06849999999999999,0.049,0.0824,0.0263,0.0408,0.0358,0.004,0.0355,0.05940000000000001,0.067,0.03,0.1012,0.09640000000000001,0.0866,0.025099999999999997,0.1125,0.1412,0.1352,0.09179999999999999,0.1503,0.1306,0.1512,0.1485,0.2102,0.16140000000000002,0.145,0.16219999999999998,0.1645,0.15460000000000002,0.1283,0.0658,0.1318,0.0966,0.114,0.0,CPIN
Interest Coverage (Quarter),9.97,8.91,2.46,-1.32,8.27,21.32,20.2,16.61,-3.79,18.25,25.04,17.24,8.41,8.67,11.36,12.96,9.85,11.26,9.9,10.16,12.6,17.05,11.42,10.08,5.04,9.47,6.32,7.65,6.57,8.57,4.99,7.77,3.01,5.22,5.15,0.92,6.67,12.29,14.39,2.06,4.91,19.35,25.15,12.53,28.65,28.52,43.59,17.6,77.46,88.34,91.57,81.03,59.84,40.83,33.91,21.25,15.28,9.44,4.48,2.56,6.4,4.05,2.17,0.0,CPIN
Share Outstanding,13520000000.0,13520000000.0,13520000000.0,13520000000.0,13520000000.0,13520000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,2700000000.0,0.0,0.0,0.0,2500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
EPS (Quarter),-44.22,52.98,114.14,80.51,106.83,94.04,333.4,192.69,143.13,-39.23,94.93,161.4,26.02,111.03,4.97,11.01,17.84,32.68,33.61,44.85,34.07,27.28,64.17,64.02,52.81,49.14,60.91,14.66,30.37,14.93,6.39,-103.64,-8.39,5.59,8.24,-84.65,7.05,33.96,45.54,32.9,75.38,55.46,25.07,26.34,130.17,157.46,156.8,142.1,173.4,112.34,114.46,152.62,0.0,0.0,0.0,365.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
PE Ratio (Quarter),-42.63,26.8,12.79,20.12,16.66,16.43,32.09,53.58,64.98,-129.37,51.41,18.46,60.34,10.72,265.59,119.89,75.11,45.59,42.25,31.22,70.44,90.91,42.39,32.02,40.52,40.6,40.06,145.98,34.41,54.92,137.72,-6.51,-100.72,197.67,182.04,-19.61,290.07,68.46,47.98,83.59,35.82,54.54,191.46,227.79,45.33,36.2,51.98,48.21,40.95,85.01,78.19,58.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
Price to Sales (Quarter),9.93,6.46,4.47,6.45,4.73,6.08,13.24,15.04,19.94,16.12,15.86,49.37,7.52,6.92,3.56,4.4,4.2,4.24,3.74,2.71,5.1,6.63,6.16,4.65,5.7,4.67,6.29,4.7,4.49,4.66,4.08,4.12,2.32,2.88,4.16,3.12,4.01,3.78,4.05,3.01,2.33,3.35,5.97,7.79,6.44,5.42,8.21,8.42,9.07,17.52,15.96,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
EBITDA (Quarter),0.0,1245110000000.0,2386830000000.0,1729660000000.0,2450020000000.0,1879400000000.0,1285050000000.0,940760000000.0,564400000000.0,328430000000.0,310830000000.0,0.0,22000000000.0,122370000000.0,191150000000.0,53390000000.0,123260000000.0,166620000000.0,184850000000.0,170460000000.0,214050000000.0,229660000000.0,335070000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
Return on Assets (Quarter),-0.0262,0.0349,0.0747,0.0546,0.0785,0.0792,0.0634,0.0417,0.039,-0.011899999999999999,0.0296,0.0629,0.0101,0.045,0.0018,0.0048,0.0075,0.014199999999999999,0.0143,0.0179,0.013300000000000001,0.0118,0.0269,0.0278,0.0245,0.022799999999999997,0.0292,0.0070999999999999995,0.0161,0.008,0.0034000000000000002,-0.0534,-0.004,0.0028000000000000004,0.0042,-0.0414,0.0034999999999999996,0.016200000000000003,0.0225,0.0152,0.0354,0.026400000000000003,0.012700000000000001,0.013700000000000002,0.065,0.085,0.0776,0.08259999999999999,0.11220000000000001,0.0888,0.08689999999999999,0.11880000000000002,0.0,0.0,0.0,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
Return on Equity (Quarter),-0.0342,0.0404,0.0917,0.0703,0.09699999999999999,0.09910000000000001,0.0843,0.056100000000000004,0.051100000000000007,-0.015600000000000001,0.037000000000000005,0.069,0.011200000000000002,0.05,0.0021,0.0054,0.0085,0.015700000000000002,0.0161,0.0216,0.0163,0.0138,0.030699999999999998,0.0323,0.0276,0.0267,0.0335,0.0083,0.0178,0.0088,0.0038,-0.0591,-0.0044,0.0031,0.0047,-0.050800000000000005,0.0040999999999999995,0.02,0.0265,0.018500000000000003,0.0443,0.0395,0.0161,0.0172,0.0882,0.1182,0.1036,0.1079,0.1502,0.1178,0.1063,0.16190000000000002,0.0,0.0,0.0,1.2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
Return on Capital Employed (Quarter),0.0239,0.054900000000000004,0.1264,0.09480000000000001,0.1594,0.13699999999999998,0.1026,0.0839,0.05740000000000001,0.0327,0.0338,-0.0116,-0.0049,0.0085,0.0219,0.0006,0.0125,0.0206,0.0233,0.0191,0.028999999999999998,0.030600000000000002,0.053099999999999994,0.0524,0.0458,0.041100000000000005,0.0516,0.044500000000000005,0.028900000000000002,0.0151,0.0037,-0.013000000000000001,-0.0018,0.006600000000000001,0.0108,0.0077,0.0025,0.019,0.026400000000000003,0.030699999999999998,0.0767,0.0596,0.0298,0.0576,0.1401,0.168,0.1627,0.171,0.2393,0.16640000000000002,0.1818,0.2723,0.0,0.0,0.33280000000000004,2.4858000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
Interest Coverage (Quarter),24.4,58.57,121.66,109.11,268.38,119.27,97.3,62.51,36.61,23.7,47.21,-5.82,-2.55,10.95,27.24,0.7,4.13,17.61,19.9,16.15,9.35,1492.09,40.4,60.79,36.1,40.35,45.89,38.34,26.95,15.2,2.87,-5.48,-1.1,5.95,8.39,1.96,1.62,13.07,18.8,7.07,36.79,43.01,21.32,18.55,294.04,69.15,78.1,32.09,71.46,50.39,49.01,11.9,14.21,27.59,22.74,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HRUM
Share Outstanding,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,9940000000.0,0.0,INCO
EPS (Quarter),90.2,106.45,147.95,56.34,32.79,127.6,97.74,61.06,91.15,36.62,49.41,0.82,38.6,28.77,47.7,80.07,37.48,-8.35,-28.9,5.24,40.35,33.14,9.47,5.83,2.14,-20.53,-8.26,11.77,17.4,-5.98,-20.61,-6.38,20.36,23.14,32.99,55.49,78.74,60.85,20.62,-7.81,11.23,13.21,30.82,37.76,22.66,1.73,3.54,20.57,77.98,108.0,98.04,100.73,95.01,130.06,69.95,53.6,72.03,15.58,20.01,47.59,73.94,144.95,129.5,0.0,INCO
PE Ratio (Quarter),62.64,59.18,44.95,126.02,195.18,44.28,68.55,76.65,50.36,125.89,88.65,6219.51,92.23,97.32,45.28,45.46,93.65,-373.65,-117.3,622.14,91.95,121.91,294.61,495.71,1210.28,-90.11,-289.35,239.59,169.54,-304.35,-84.91,-256.27,107.32,117.11,98.06,65.33,47.63,58.42,136.76,-339.31,200.36,153.29,77.06,62.24,130.19,1546.24,953.39,155.57,38.79,41.67,48.7,48.4,51.31,28.83,67.55,68.1,57.61,266.37,111.19,40.55,41.59,41.74,54.05,0.0,INCO
Price to Sales (Quarter),12.1,14.08,12.15,13.89,12.96,11.17,19.72,12.31,12.01,15.15,14.46,23.97,10.51,12.12,7.51,9.8,11.45,13.29,18.7,12.47,11.32,13.16,11.82,11.62,11.88,9.33,12.38,10.87,14.53,9.99,12.05,8.52,6.16,10.01,11.59,10.34,10.11,10.66,11.53,9.18,6.67,8.02,9.4,8.64,11.19,11.95,18.55,13.27,11.04,13.38,16.9,16.02,17.13,11.31,20.15,17.62,18.18,29.03,15.73,5.11,9.98,14.83,19.86,0.0,INCO
EBITDA (Quarter),1695930000000.0,1816840000000.0,2429630000000.0,1329670000000.0,1295380000000.0,2239510000000.0,1818120000000.0,1424670000000.0,1735490000000.0,1021470000000.0,1257830000000.0,950890000000.0,1070150000000.0001,794080000000.0,801590000000.0,1732250000000.0,1074349999999.9999,243160000000.0,52060000000.0,507790000000.0,1035220000000.0,933860000000.0,588210000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INCO
Return on Assets (Quarter),0.0202,0.025099999999999997,0.0351,0.013500000000000002,0.008100000000000001,0.0326,0.026600000000000002,0.0172,0.0263,0.010700000000000001,0.014499999999999999,0.0003,0.0113,0.0089,0.013200000000000002,0.0258,0.0122,-0.0028000000000000004,-0.0094,0.0016,0.0123,0.0106,0.0032,0.002,0.0007000000000000001,-0.0070999999999999995,-0.0028000000000000004,0.0039000000000000003,0.006,-0.002,-0.0069,-0.002,0.006,0.0075,0.010700000000000001,0.019,0.027000000000000003,0.0219,0.008,-0.0028000000000000004,0.0042,0.005699999999999999,0.013600000000000001,0.0166,0.0101,0.0008,0.0016,0.009300000000000001,0.0352,0.0521,0.0458,0.050800000000000005,0.0467,0.0659,0.0364,0.0278,0.0381,0.008199999999999999,0.009300000000000001,0.0234,0.042,0.0827,0.0724,0.0,INCO
Return on Equity (Quarter),0.023,0.0286,0.04,0.0152,0.0092,0.037000000000000005,0.0304,0.0197,0.03,0.0122,0.016399999999999998,0.0003,0.012700000000000001,0.01,0.0147,0.029500000000000002,0.0139,-0.0032,-0.0108,0.0019,0.0143,0.0124,0.0037,0.0023,0.0009,-0.0084,-0.0034000000000000002,0.0047,0.0073,-0.0025,-0.0085,-0.0025,0.0075,0.0094,0.0138,0.0248,0.0347,0.0285,0.010400000000000001,-0.0037,0.0055000000000000005,0.0076,0.018000000000000002,0.0225,0.013700000000000002,0.0011,0.0022,0.012700000000000001,0.04730000000000001,0.0704,0.062400000000000004,0.0663,0.06730000000000001,0.0857,0.050300000000000004,0.0358,0.0453,0.0097,0.011200000000000002,0.028399999999999998,0.0512,0.10710000000000001,0.1073,0.0,INCO
Return on Capital Employed (Quarter),0.025400000000000002,0.0305,0.0463,0.0166,0.0189,0.0471,0.0373,0.0268,0.0358,0.0149,0.0227,0.0126,0.0161,0.008,0.0094,0.042,0.0179,-0.0039000000000000003,-0.013500000000000002,0.001,0.0189,0.0167,0.0055000000000000005,0.0037,0.002,-0.010400000000000001,-0.0029,0.0072,0.0098,-0.0016,-0.008,-0.0021,0.0113,0.0121,0.0177,0.0301,0.0434,0.0345,0.0125,-0.0017000000000000001,0.0102,0.0099,0.0212,0.023,0.0184,0.0029,0.0059,0.0168,0.0506,0.0739,0.0672,0.0752,0.0698,0.09630000000000001,0.0487,0.041100000000000005,0.0556,0.0111,0.0154,0.0362,0.033100000000000004,0.13699999999999998,0.2613,0.0,INCO
Interest Coverage (Quarter),46.61,57.2,95.43,13.27,25.71,98.57,78.9,139.41,30.82,29.21,52.62,32.97,20.68,35.82,37.32,164.34,55.14,-6.15,-19.7,1.49,21.63,17.81,6.01,4.24,2.12,-10.57,-2.83,6.08,9.36,-1.5,-7.44,-4.31,7.59,9.81,11.37,18.05,35.75,20.4,8.29,-0.86,4.34,5.7,11.81,12.8,9.92,1.71,3.01,7.03,0.0,0.0,0.0,4984184.26,1956838.18,13346290.37,23672.75,7345.86,4321.26,538.53,287.41,483.07,425.24,1203.01,797.04,0.0,INCO
Share Outstanding,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25140000000.0,25060000000.0,17920000000.0,17920000000.0,17920000000.0,17840000000.0,17840000000.0,17840000000.0,17830000000.0,17730000000.0,17730000000.0,17730000000.0,17730000000.0,13330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,3330000000.0,0.0,MEDC
EPS (Quarter),78.04,22.4,48.89,86.35,83.04,108.49,51.43,-5.27,5.08,23.93,2.97,-27.3,-22.81,-58.2,-18.24,-36.46,-6.77,-0.31,22.4,-32.39,-43.0,16.88,16.79,-27.93,85.71,150.32,172.11,658.11,42.14,3.99,40.68,-583.04,-125.69,-64.33,-5.74,2.92,3.59,18.97,12.28,11.2,19.65,9.89,5.31,5.05,21.77,-23.52,33.24,177.77,2.35,25.72,25.66,180.56,15.94,11.21,30.14,13.53,16.65,3.8,29.15,103.75,652.28,116.1,77.68,0.0,MEDC
PE Ratio (Quarter),20.63,39.73,20.66,11.75,11.02,5.85,10.79,-88.43,108.27,26.74,191.92,-21.61,-14.82,-7.56,-20.61,-23.07,-99.11,-2541.94,38.62,-20.56,-22.63,55.57,70.04,-30.97,8.68,14.54,19.42,1.91,34.62,359.4,35.13,-1.3,-8.7,-40.51,-515.16,1242.81,949.3,178.6,211.4,179.02,127.53,163.2,291.71,307.72,75.06,-73.09,61.82,13.03,874.47,87.33,107.05,17.85,199.06,251.29,82.32,173.02,166.19,766.32,72.04,17.2,5.3,38.85,40.85,0.0,MEDC
Price to Sales (Quarter),4.44,2.67,3.04,3.0,2.2,1.55,2.06,2.25,3.12,3.31,3.26,4.4,2.15,2.5,1.42,2.69,2.16,2.93,3.82,3.13,3.13,3.81,5.25,3.42,3.69,2.83,3.98,1.58,2.84,2.68,2.48,0.99,1.47,4.39,5.9,4.65,4.64,5.68,3.76,2.04,2.52,2.56,2.4,1.91,6.56,2.15,2.64,2.7,2.72,2.71,4.12,3.96,5.18,4.91,4.88,4.85,6.2,5.99,4.48,1.42,4.06,4.06,3.17,0.0,MEDC
EBITDA (Quarter),4902350000000.0,4592970000000.0,4929550000000.0,6970590000000.0,6950300000000.0,6852240000000.0,4345760000000.0,2270770000000.0,2894830000000.0,2740390000000.0,2226070000000.0,693700000000.0,2596680000000.0,1646260000000.0,2960210000000.0,2559120000000.0,1901710000000.0,2582950000000.0,2268410000000.0,1858160000000.0,2337170000000.0,2256340000000.0,2016220000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDC
Return on Assets (Quarter),0.018500000000000003,0.005600000000000001,0.012,0.0201,0.0199,0.0263,0.0129,-0.0016,0.0017000000000000001,0.0077,0.0009,-0.0084,-0.006,-0.0115,-0.0031,-0.0078000000000000005,-0.0014000000000000002,-0.0001,0.0055000000000000005,-0.0076,-0.0099,0.0040999999999999995,0.0042,-0.0070999999999999995,0.0212,0.0102,0.012,0.0454,0.0036,0.0003,0.0034999999999999996,-0.0484,-0.011000000000000001,-0.0062,-0.0006,0.0003,0.0004,0.0021,0.0013000000000000002,0.0012,0.0022,0.0013000000000000002,0.0007000000000000001,0.0007000000000000001,0.0028000000000000004,-0.0031,0.0048,0.0252,0.0004,0.0043,0.0044,0.0294,0.0028000000000000004,0.002,0.0053,0.0024,0.003,0.0006,0.0042,0.0159,0.1084,0.0213,0.0149,0.0,MEDC
Return on Equity (Quarter),0.0708,0.0225,0.049400000000000006,0.0894,0.0945,0.1401,0.0799,-0.0086,0.0083,0.038700000000000005,0.0047,-0.0481,-0.032100000000000004,-0.0661,-0.017,-0.0393,-0.006999999999999999,-0.0003,0.0225,-0.0327,-0.0406,0.0161,0.0166,-0.0291,0.0797,0.0391,0.0466,0.1839,0.0146,0.0014000000000000002,0.014199999999999999,-0.2022,-0.033100000000000004,-0.018000000000000002,-0.0016,0.0009,0.0011,0.0059,0.004,0.0034999999999999996,0.0064,0.0040999999999999995,0.0022,0.0021,0.0091,-0.01,0.0141,0.07730000000000001,0.0011,0.012700000000000001,0.0123,0.0851,0.008199999999999999,0.0058,0.015300000000000001,0.0068000000000000005,0.008100000000000001,0.0018,0.0113,0.0431,0.3019,0.0736,0.053099999999999994,0.0,MEDC
Return on Capital Employed (Quarter),0.042699999999999995,0.0317,0.031400000000000004,0.053200000000000004,0.0463,0.059699999999999996,0.0392,0.0322,0.0227,0.016399999999999998,0.0171,-0.0036,0.0096,0.0058,0.0167,0.017,0.0022,0.0271,0.031200000000000002,0.0207,0.0349,0.0338,0.028300000000000002,0.0209,0.025400000000000002,0.021800000000000003,0.027999999999999997,0.0275,0.0121,0.0106,0.0143,0.0061,0.016,0.0113,0.008199999999999999,0.011399999999999999,0.013600000000000001,0.0234,0.0268,0.0361,0.0392,0.0313,0.0253,0.031400000000000004,0.029700000000000004,0.038900000000000004,0.0319,0.0412,0.0288,0.0315,0.029700000000000004,-0.0009,0.0138,0.027700000000000002,0.028700000000000003,0.0226,0.0016,0.0024,0.0159,0.0524,0.0721,0.06480000000000001,0.11570000000000001,0.0,MEDC
Interest Coverage (Quarter),3.41,2.65,2.66,4.41,3.51,4.76,3.09,2.61,1.78,1.38,1.39,-0.25,0.63,0.71,1.25,1.51,0.13,2.35,2.78,2.31,2.34,3.04,2.34,1.58,1.93,1.81,2.53,2.38,1.1,0.86,1.28,0.8,1.6,1.14,0.99,2.73,1.92,1.57,3.75,3.0,3.63,3.23,2.88,2.49,2.75,2.8,2.52,2.2,2.49,2.97,2.6,-0.06,1.11,2.0,2.58,2.76,0.18,0.24,2.17,4.21,8.37,7.45,3.69,0.0,MEDC
Share Outstanding,93750000000.0,93750000000.0,93750000000.0,93750000000.0,93750000000.0,93750000000.0,93750000000.0,93750000000.0,93750000000.0,93750000000.0,93390000000.0,93390000000.0,93390000000.0,93390000000.0,89020000000.0,89020000000.0,89010000000.0,17790000000.0,17790000000.0,17790000000.0,17790000000.0,17790000000.0,13960000000.0,13960000000.0,13960000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,6980000000.0,0.0,BRPT
EPS (Quarter),1.06,1.14,3.72,-1.54,0.43,-0.03,1.43,1.25,0.55,7.75,7.09,4.5,3.16,-0.99,-0.38,4.91,0.25,4.02,4.65,-0.27,25.34,18.93,18.85,22.23,28.66,34.07,93.42,71.79,88.63,70.1,23.0,-14.46,-4.5,5.75,2.62,-1.2,-5.24,-0.93,-8.14,6.97,-32.98,-10.21,-8.98,-40.31,-23.47,-42.32,-22.68,-47.05,1.25,16.78,15.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRPT
